AddressExtras,AddressKey,AddressLine1,AddressLine2,AddressTypeCode,CarrierRoute,City,CityAbbreviation,CompanyName,CountryCode,CountryName,DeliveryIndicator,DeliveryPointCheckDigit,DeliveryPointCode,EmailAddress,Latitude,Longitude,MelissaAddressKey,MelissaAddressKeyBase,NameFull,PhoneNumber,PostalCode,RecordExtras,RecordID,Reserved,Results,State,StateName,UTC,UrbanizationName
 ,92617408016,16 Eliot Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,6,16, ,33.635575,-117.841686,6469186302, , , ,92617-4080, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617400024,24 Russell Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,5,24, ,33.641112,-117.840093,4573963037, , , ,92617-4000, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409412,12 Frost, ,S,C004,Irvine,Irvine, ,US,United States of America,R,5,12, ,33.639255,-117.834745,6512076016, , , ,92617-4094, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404414,14 Thompson Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,8,14, ,33.640606,-117.839867,6650454906, , , ,92617-4044, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617408914,14 Murasaki St, ,S,C004,Irvine,Irvine, ,US,United States of America,R,9,14, ,33.640665,-117.834723,6551521274, , , ,92617-4089, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409001,1 Twain, ,S,C004,Irvine,Irvine, ,US,United States of America,R,1,01, ,33.640457,-117.835540,6727696542, , , ,92617-4090, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617408701,1 Murasaki St, ,S,C004,Irvine,Irvine, ,US,United States of America,R,5,01, ,33.641073,-117.836197,4254928451, , , ,92617-4087, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617408823,23 Murasaki St, ,S,C004,Irvine,Irvine, ,US,United States of America,R,0,23, ,33.640004,-117.834309,6755113993, , , ,92617-4088, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409218,18 Fuertes, ,S,C004,Irvine,Irvine, ,US,United States of America,R,1,18, ,33.639514,-117.833806,6778246326, , , ,92617-4092, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617402912,12 Dickens Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,7,12, ,33.639162,-117.842638,6658823698, , , ,92617-4029, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617407812,12 Joyce Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,3,12, ,33.634774,-117.841589,4181334744, , , ,92617-4078, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406824,24 Harvey Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,1,24, ,33.636717,-117.842015,6795771779, , , ,92617-4068, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404322,22 Perkins Ct, ,S,C004,Irvine,Irvine, ,US,United States of America,R,0,22, ,33.639752,-117.839396,6675809286, , , ,92617-4043, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617407818,18 Joyce Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,7,18, ,33.634945,-117.841089,6725831241, , , ,92617-4078, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617402805,5 Dickens Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,6,05, ,33.639133,-117.843506,8666841712, , , ,92617-4028, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617407634,34 Gabrielino Dr, ,S,C004,Irvine,Irvine, ,US,United States of America,R,1,34, ,33.640520,-117.836050,8662773688, , , ,92617-4076, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404108,8 Owen Ct, ,S,C004,Irvine,Irvine, ,US,United States of America,R,8,08, ,33.639404,-117.838633,2775426787, , , ,92617-4041, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404961,61 Schubert Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,1,61, ,33.641842,-117.839470,8741129320, , , ,92617-4049, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617403924,24 Mendel Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,3,24, ,33.639649,-117.839873,8878823503, , , ,92617-4039, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617408014,14 Eliot Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,8,14, ,33.635515,-117.841862,8950688089, , , ,92617-4080, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404112,12 Owen Ct, ,S,C004,Irvine,Irvine, ,US,United States of America,R,3,12, ,33.639500,-117.838304,3424905756, , , ,92617-4041, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404320,20 Perkins Ct, ,S,C004,Irvine,Irvine, ,US,United States of America,R,2,20, ,33.639924,-117.839459,8816542833, , , ,92617-4043, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406922,22 Whistler Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,2,22, ,33.635683,-117.840663,8891515431, , , ,92617-4069, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406577,77 Whitman Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,6,77, ,33.636414,-117.838081,8784486847, , , ,92617-4065, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617403814,14 Newton Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,5,14, ,33.639050,-117.839806,8755966206, , , ,92617-4038, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617403526,26 Los Trancos Dr, ,S,C005,Irvine,Irvine, ,US,United States of America,R,5,26, ,33.637546,-117.842970,3919107017, , , ,92617-4035, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617407702,2 Urey Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,5,02, ,33.638286,-117.839040,3829923650, , , ,92617-4077, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404306,6 Perkins Ct, ,S,C004,Irvine,Irvine, ,US,United States of America,R,8,06, ,33.640108,-117.838364,4369266949, , , ,92617-4043, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406905,5 Whistler Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,1,05, ,33.635420,-117.839973,6586245131, , , ,92617-4069, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617402305,5 Alcott Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,1,05, ,33.639842,-117.841746,6660553128, , , ,92617-4023, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617406816,16 Harvey Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,0,16, ,33.636937,-117.842641,3732693546, , , ,92617-4068, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404408,8 Thompson Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,5,08, ,33.640754,-117.839373,3822705500, , , ,92617-4044, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617402306,6 Alcott Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,0,06, ,33.640209,-117.841156,3776518002, , , ,92617-4023, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617405415,15 Virgil Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,6,15, ,33.638444,-117.837326,3820027219, , , ,92617-4054, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409102,2 Twain, ,S,C004,Irvine,Irvine, ,US,United States of America,R,9,02, ,33.640403,-117.835019,8986112416, , , ,92617-4091, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617405528,28 Young, ,S,C005,Irvine,Irvine, ,US,United States of America,R,1,28, ,33.636840,-117.841368,4020866699, , , ,92617-4055, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617402806,6 Dickens Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,5,06, ,33.639555,-117.843286,3862363435, , , ,92617-4028, ,1, ,"AC01,AS01,AS16,GS05",CA,California,-08:00, 
 ,92617406115,15 Zola Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,8,15, ,33.637797,-117.836892,4110202523, , , ,92617-4061, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617407127,27 Harvey Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,4,27, ,33.636196,-117.842554,3941902610, , , ,92617-4071, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404007,7 Owen Ct, ,S,C004,Irvine,Irvine, ,US,United States of America,R,0,07, ,33.639063,-117.838251,8580954990, , , ,92617-4040, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617400010,10 Russell Ct, ,S,C003,Irvine,Irvine, ,US,United States of America,R,0,10, ,33.641556,-117.839264,4059708145, , , ,92617-4000, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617404710,10 McClintock Ct, ,S,C005,Irvine,Irvine, ,US,United States of America,R,9,10, ,33.634468,-117.841268,6509087131, , , ,92617-4047, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
 ,92617409517,17 Fuertes, ,S,C004,Irvine,Irvine, ,US,United States of America,R,9,17, ,33.639248,-117.834097,3990865720, , , ,92617-4095, ,1, ,"AC01,AS01,GS05",CA,California,-08:00, 
